,model_name,fold,loss_type,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,1,BCE,1,True,False,0.8783068783068783,0.8469387755102041,0.9120879120879121,0.8270676691729323,0.921481289781473,0.5857985159789726,0.9787237978782382,0.5810162991371045,27.0,8.0,15.0,83.0
1,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,2,BCE,1,True,False,0.9261083743842364,0.9591836734693877,0.8952380952380953,0.8863636363636364,0.9336200478687534,0.6891232899448764,0.9863795998368937,0.6814671814671815,23.0,11.0,4.0,94.0
2,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,3,BCE,1,True,False,0.9,0.9278350515463918,0.8737864077669902,0.8484848484848485,0.9828209286404272,0.5931908690111414,0.9971676677972376,0.5886569024618262,22.0,13.0,7.0,90.0
3,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,1,BCE,1,True,False,0.8613861386138614,0.8877551020408163,0.8365384615384616,0.7894736842105263,0.8979840311015896,0.42874743764818296,0.9780786473731985,0.4254859611231101,18.0,17.0,11.0,87.0
4,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,2,BCE,1,True,False,0.8469387755102041,0.8469387755102041,0.8469387755102041,0.7727272727272727,0.913248368036371,0.4057623049219688,0.9811934137161876,0.40576230492196874,19.0,15.0,15.0,83.0
5,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,3,BCE,1,True,False,0.8910891089108911,0.9278350515463918,0.8571428571428571,0.8333333333333334,0.9576143776782576,0.5463529364766617,0.9926012679490833,0.53860819828408,20.0,15.0,7.0,90.0
6,FacebookAI/roberta-base,1,BCE,1,True,False,0.875,0.8571428571428571,0.8936170212765957,0.8195488721804511,0.9613516723955948,0.5527296742026208,0.9933658821786716,0.5511811023622047,25.0,10.0,14.0,84.0
7,FacebookAI/roberta-base,2,BCE,1,True,False,0.9191919191919192,0.9285714285714286,0.91,0.8787878787878788,0.940171832859934,0.67741941131291,0.9874153960382204,0.6768665850673194,25.0,9.0,7.0,91.0
8,FacebookAI/roberta-base,3,BCE,1,True,False,0.9246231155778895,0.9484536082474226,0.9019607843137255,0.8863636363636364,0.9570208406831812,0.6980747276560099,0.992141346507149,0.6944444444444444,25.0,10.0,5.0,92.0
9,dmis-lab/biobert-v1.1,1,BCE,1,True,False,0.8615384615384616,0.8571428571428571,0.865979381443299,0.7969924812030075,0.9412689138631193,0.48138307802844715,0.9880668661978596,0.48129423660262893,22.0,13.0,14.0,84.0
10,dmis-lab/biobert-v1.1,2,BCE,1,True,False,0.9346733668341709,0.9489795918367347,0.9207920792079208,0.9015151515151515,0.9622007068402461,0.7362373063940926,0.9930811864750066,0.734857849196539,26.0,8.0,5.0,93.0
11,dmis-lab/biobert-v1.1,3,BCE,1,True,False,0.9064039408866995,0.9484536082474226,0.8679245283018868,0.8560606060606061,0.9628410188927574,0.6087236577411158,0.9935301448645132,0.5975609756097561,21.0,14.0,5.0,92.0
