,model_name,fold,loss_type,run,with_title,with_keywords,f1,recall,precision,accuracy
0,dmis-lab/biobert-v1.1,1,BCE,1,True,False,0.8375451263537906,0.7295597484276729,0.9830508474576272,0.9830763444904099
1,dmis-lab/biobert-v1.1,2,BCE,1,True,False,0.8958333333333334,0.8113207547169812,1.0,0.9887175629936066
2,google-bert/bert-base-uncased,1,BCE,1,True,False,0.9329073482428115,0.9182389937106918,0.948051948051948,0.9921022940955246
3,google-bert/bert-base-uncased,2,BCE,1,True,False,0.9328859060402684,0.8742138364779874,1.0,0.9924783753290711
4,Ensemble,1,BCE,1,True,False,0.9435215946843853,0.8930817610062893,1.0,0.9936066190297104
5,Ensemble,2,BCE,1,True,False,0.9364548494983278,0.8805031446540881,1.0,0.9928544565626175
6,dmis-lab/biobert-v1.1,1,focal,1,True,False,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9992478375329071
7,dmis-lab/biobert-v1.1,2,focal,1,True,False,0.9936708860759493,0.9874213836477987,1.0,0.9992478375329071
8,google-bert/bert-base-uncased,1,focal,1,True,False,0.9936708860759493,0.9874213836477987,1.0,0.9992478375329071
9,google-bert/bert-base-uncased,2,focal,1,True,False,1.0,1.0,1.0,1.0
10,Ensemble,1,focal,1,True,False,0.9968454258675079,0.9937106918238994,1.0,0.9996239187664535
11,Ensemble,2,focal,1,True,False,1.0,1.0,1.0,1.0
