,model_name,fold,criterion,num_trees,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,Random Forest,1,log_loss,100,0,True,False,0.7570621468926554,0.6836734693877551,0.8481012658227848,0.6766917293233082,{},0.3056025864767759,{},0.29018245004344057,23.0,12.0,31.0,67.0
0,Random Forest,2,log_loss,100,0,True,False,0.7100591715976331,0.6122448979591837,0.8450704225352113,0.6287878787878788,{},0.25323777193368785,{},0.2292659675881793,23.0,11.0,38.0,60.0
0,Random Forest,3,log_loss,100,0,True,False,0.7073170731707317,0.5979381443298969,0.8656716417910447,0.6363636363636364,{},0.3008980615783881,{},0.26751445086705206,26.0,9.0,39.0,58.0
0,Random Forest,1,log_loss,100,1,True,False,0.7553191489361702,0.7244897959183674,0.7888888888888889,0.6541353383458647,{},0.17099582391892304,{},0.1692015209125476,16.0,19.0,27.0,71.0
0,Random Forest,2,log_loss,100,1,True,False,0.7045454545454546,0.6326530612244898,0.7948717948717948,0.6060606060606061,{},0.14414417014206696,{},0.13595166163142003,18.0,16.0,36.0,62.0
0,Random Forest,3,log_loss,100,1,True,False,0.7228915662650602,0.6185567010309279,0.8695652173913043,0.6515151515151515,{},0.3193962797850425,{},0.28782547501759326,26.0,9.0,37.0,60.0
0,Random Forest,1,gini,100,0,True,False,0.8105263157894737,0.7857142857142857,0.8369565217391305,0.7293233082706767,{},0.34056748848057733,{},0.33849129593810445,20.0,15.0,21.0,77.0
0,Random Forest,2,gini,100,0,True,False,0.7386363636363636,0.6632653061224489,0.8333333333333334,0.6515151515151515,{},0.24984989491291607,{},0.2356495468277946,21.0,13.0,33.0,65.0
0,Random Forest,3,gini,100,0,True,False,0.7368421052631579,0.6494845360824743,0.8513513513513513,0.6590909090909091,{},0.2981209634607726,{},0.2770204479065239,24.0,11.0,34.0,63.0
0,Random Forest,1,gini,100,1,True,False,0.7731958762886598,0.7653061224489796,0.78125,0.6691729323308271,{},0.1624424460002627,{},0.16232464929859725,14.0,21.0,23.0,75.0
0,Random Forest,2,gini,100,1,True,False,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.6818181818181818,{},0.27500954910846337,{},0.2666666666666666,20.0,14.0,28.0,70.0
0,Random Forest,3,gini,100,1,True,False,0.75,0.6804123711340206,0.8354430379746836,0.6666666666666666,{},0.2782301042271673,{},0.26536807487983805,22.0,13.0,31.0,66.0
0,Random Forest,1,entropy,100,0,True,False,0.7570621468926554,0.6836734693877551,0.8481012658227848,0.6766917293233082,{},0.3056025864767759,{},0.29018245004344057,23.0,12.0,31.0,67.0
0,Random Forest,2,entropy,100,0,True,False,0.7100591715976331,0.6122448979591837,0.8450704225352113,0.6287878787878788,{},0.25323777193368785,{},0.2292659675881793,23.0,11.0,38.0,60.0
0,Random Forest,3,entropy,100,0,True,False,0.7073170731707317,0.5979381443298969,0.8656716417910447,0.6363636363636364,{},0.3008980615783881,{},0.26751445086705206,26.0,9.0,39.0,58.0
0,Random Forest,1,entropy,100,1,True,False,0.7553191489361702,0.7244897959183674,0.7888888888888889,0.6541353383458647,{},0.17099582391892304,{},0.1692015209125476,16.0,19.0,27.0,71.0
0,Random Forest,2,entropy,100,1,True,False,0.7045454545454546,0.6326530612244898,0.7948717948717948,0.6060606060606061,{},0.14414417014206696,{},0.13595166163142003,18.0,16.0,36.0,62.0
0,Random Forest,3,entropy,100,1,True,False,0.7228915662650602,0.6185567010309279,0.8695652173913043,0.6515151515151515,{},0.3193962797850425,{},0.28782547501759326,26.0,9.0,37.0,60.0
0,Random Forest,1,log_loss,200,0,True,False,0.770949720670391,0.7040816326530612,0.8518518518518519,0.6917293233082706,{},0.3259718258647996,{},0.31244483671668144,23.0,12.0,29.0,69.0
0,Random Forest,2,log_loss,200,0,True,False,0.6941176470588235,0.6020408163265306,0.8194444444444444,0.6060606060606061,{},0.19293752863552077,{},0.17579250720461104,21.0,13.0,39.0,59.0
0,Random Forest,3,log_loss,200,0,True,False,0.7485380116959064,0.6597938144329897,0.8648648648648649,0.6742424242424242,{},0.33270089946852477,{},0.3091528724440118,25.0,10.0,33.0,64.0
0,Random Forest,1,log_loss,200,1,True,False,0.7938144329896907,0.7857142857142857,0.8020833333333334,0.6992481203007519,{},0.2386500132596452,{},0.23847695390781565,16.0,19.0,21.0,77.0
0,Random Forest,2,log_loss,200,1,True,False,0.7624309392265194,0.7040816326530612,0.8313253012048193,0.6742424242424242,{},0.26458753137515917,{},0.2555089192025183,20.0,14.0,29.0,69.0
0,Random Forest,3,log_loss,200,1,True,False,0.7317073170731707,0.6185567010309279,0.8955223880597015,0.6666666666666666,{},0.36955587338192697,{},0.3285549132947977,28.0,7.0,37.0,60.0
0,Random Forest,1,gini,200,0,True,False,0.8085106382978723,0.7755102040816326,0.8444444444444444,0.7293233082706767,{},0.3535194561919308,{},0.34980988593155893,21.0,14.0,22.0,76.0
0,Random Forest,2,gini,200,0,True,False,0.7555555555555555,0.6938775510204082,0.8292682926829268,0.6666666666666666,{},0.25432170640494856,{},0.24453694068678467,20.0,14.0,30.0,68.0
0,Random Forest,3,gini,200,0,True,False,0.7485380116959064,0.6597938144329897,0.8648648648648649,0.6742424242424242,{},0.33270089946852477,{},0.3091528724440118,25.0,10.0,33.0,64.0
0,Random Forest,1,gini,200,1,True,False,0.8040201005025126,0.8163265306122449,0.7920792079207921,0.706766917293233,{},0.22285437745355635,{},0.22245540398740815,14.0,21.0,18.0,80.0
0,Random Forest,2,gini,200,1,True,False,0.7675675675675676,0.7244897959183674,0.8160919540229885,0.6742424242424242,{},0.23423510489416483,{},0.2296416938110748,18.0,16.0,27.0,71.0
0,Random Forest,3,gini,200,1,True,False,0.735632183908046,0.6597938144329897,0.8311688311688312,0.6515151515151515,{},0.25818802484826314,{},0.24383561643835605,22.0,13.0,33.0,64.0
0,Random Forest,1,entropy,200,0,True,False,0.770949720670391,0.7040816326530612,0.8518518518518519,0.6917293233082706,{},0.3259718258647996,{},0.31244483671668144,23.0,12.0,29.0,69.0
0,Random Forest,2,entropy,200,0,True,False,0.6941176470588235,0.6020408163265306,0.8194444444444444,0.6060606060606061,{},0.19293752863552077,{},0.17579250720461104,21.0,13.0,39.0,59.0
0,Random Forest,3,entropy,200,0,True,False,0.7485380116959064,0.6597938144329897,0.8648648648648649,0.6742424242424242,{},0.33270089946852477,{},0.3091528724440118,25.0,10.0,33.0,64.0
0,Random Forest,1,entropy,200,1,True,False,0.7938144329896907,0.7857142857142857,0.8020833333333334,0.6992481203007519,{},0.2386500132596452,{},0.23847695390781565,16.0,19.0,21.0,77.0
0,Random Forest,2,entropy,200,1,True,False,0.7624309392265194,0.7040816326530612,0.8313253012048193,0.6742424242424242,{},0.26458753137515917,{},0.2555089192025183,20.0,14.0,29.0,69.0
0,Random Forest,3,entropy,200,1,True,False,0.7317073170731707,0.6185567010309279,0.8955223880597015,0.6666666666666666,{},0.36955587338192697,{},0.3285549132947977,28.0,7.0,37.0,60.0
