error_type,fold,source_file,doi,title,abstract,label,prediction,score,source
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1038/s41598-018-21999-2,Secondary forest regeneration benefits old-growth specialist bats in a fragmented tropical landscape,"Abstract Tropical forest loss and fragmentation are due to increase in coming decades. Understanding how matrix dynamics, especially secondary forest regrowth, can lessen fragmentation impacts is key to understanding species persistence in modified landscapes. Here, we use a whole-ecosystem fragmentation experiment to investigate how bat assemblages are influenced by the regeneration of the secondary forest matrix. We surveyed bats in continuous forest, forest fragments and secondary forest matrix habitats, ~15 and ~30 years after forest clearance, to investigate temporal changes in the occupancy and abundance of old-growth specialist and habitat generalist species. The regeneration of the second growth matrix had overall positive effects on the occupancy and abundance of specialists across all sampled habitats. Conversely, effects on generalist species were negligible for forest fragments and negative for secondary forest. Our results show that the conservation potential of secondary forests for reverting faunal declines in fragmented tropical landscapes increases with secondary forest age and that old-growth specialists, which are often of most conservation concern, are the greatest beneficiaries of secondary forest maturation. Our findings emphasize that the transposition of patterns of biodiversity persistence in island ecosystems to fragmented terrestrial settings can be hampered by the dynamic nature of human-dominated landscapes.",0,1,0.8176377,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1111/rec.12147,Nesting Habitat Creation Enhances Recruitment in a Predator‐Free Environment: <i>Malaclemys</i> Nesting at the Paul S. Sarbanes Ecosystem Restoration Project,,0,1,0.9852841,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,10.1007/s10530-008-9245-y,Consistent performance of invasive plant species within and among islands of the Mediterranean basin,"Since the success of an invasive species depends not only upon its intrinsic traits but also on particular characteristics of the recipient habitat, assessing the performance of an invader across habitats provides a more realistic analysis of risk. Such an analysis will not only provide insights into the traits related to invasiveness, but also the habitat characteristics that underpin vulnerability to invasion that, taken together, will facilitate the selection of management strategies to mitigate the invader's effect. In the present study, we considered the Mediterranean basin islands as an excellent study region to test how the same invasive species perform in different habitats within a single island, and to scale up differences among islands with similar climate. We tested how the performance of three widespread plant invaders with clonal growth but contrasting life-history traits, a deciduous tree Ailanthus altissima, a succulent subshrub Carpobrotus spp., and an annual geophyte Oxalis pes-caprae, varied depending upon the species identity, habitat, and invaded island. The environmental parameters considered were habitat type, elevation, species diversity in the invaded plot, and several soil traits (% C, % N, C/N, pH, and relative humidity). The study documents that the performance of these three important and widespread plant invaders is dependent mainly on species identity, and less upon the invaded island's general features. Likewise, differences in performance among habitats were only significant in the case of Ailanthus, whereas Carpobrotus and Oxalis appear to perform equally well in different environments. Ailanthus thus appears to have a broader spectrum of invasiveness, being able to invade a larger number of habitat types. On the contrary, Carpobrotus spp. have not yet invaded habitats different from those where the species have been originally introduced and where they are still commonly spread by humans. Oxalis distribution is mainly related to agricultural activities and disturbed sites, and the total area infested by this geophyte may be more reflection of the extent of suitable habitats than of invasiveness or ecological impact. Our results confirm the potential for these species to significantly alter the functioning of ecosystems in the Mediterranean islands and highlight the risk to other islands not yet invaded. © 2008 Springer Science+Business Media B.V.",0,1,0.9966208,negatives
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.15517/rbt.v58i2.5253,Taxonomy and distribution of aquatic and semiaquatic Heteroptera (Insecta) from Cuba,"Heteroptera is a worldwide distributed group of insects inhabiting both terrestrial and aquatic habitats and has an important ecological role. A survey of aquatic and semiaquatic Heteroptera from Cuba is provided based on literature reports and field collections. General data on species geographical distribution are given, along with altitude and collection season. Representatives of 86 species and morphospecies of the infraorders Dipsocoromorpha, Leptopodomorpha, Gerromorpha and Nepomorpha are listed, distributed in 35 genera and 16 families were found. Based on distributional data, a preference for habitats of stagnant water or slow current and lower altitudes is inferred. Fifteen species are distributed throughout the entire island. A higher species diversity was found in the Eastern sector, with 53 species (61.63%), 16 of which (18.60%) are confined to this area. The strongest biological similarity was found between Eastern and Western sectors (25%), and the weakest between Western and Central sectors (14%). Rev. Biol. Trop. 58 (3): 897-907. Epub 2010 September 01.",0,1,0.99407095,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,10.1016/j.dsr.2012.01.014,The effects of submarine canyons and the oxygen minimum zone on deep-sea fish assemblages off Hawai'i,"Submarine canyons are reported to be sites of enhanced fish biomass and productivity on continental margins. However, little is known about the effects of canyons on fish biodiversity, in particular on oceanic islands, which are imbedded in regions of low productivity. Using submersibles and high-definition video surveys, we investigated demersal fish assemblages in two submarine canyons and slope areas off the island of Moloka'i, Hawai'i, at depths ranging from 314 to 1100m. We addressed the interactions between the abundance, species richness and composition of the fish assemblage, and organic matter input and habitat heterogeneity, testing the hypotheses that heterogeneous bottom habitats and higher organic matter input in canyons enhance demersal fish abundance, and species density, richness and diversity, thereby driving differences in assemblage structure between canyons and slopes. Sediment type, substrate inclination, water-mass properties (temperature and dissolved oxygen) and organic matter input (modeled POC flux and percent detritus occurrence) were put into multivariate multiple regression models to identify potential drivers of fish assemblage structure. A total of 824 fish were recorded during ~13h of video yielding 55 putative species. Macrouridae was the most diverse family with 13 species, followed by Congridae (5), Ophidiidae (4) and Halosauridae (3). Assemblage structure changed markedly with depth, with the most abrupt change in species composition occurring between the shallowest stratum (314-480m) and intermediate and deep strata (571-719m, 946-1100m). Chlorophthalmus sp. dominated the shallow stratum, macrourids and synaphobranchid eels at intermediate depths, and halosaurs in the deepest stratum. Assemblages only differed significantly between canyon and slope habitats for the shallow stratum, and the deep stratum at one site. Dissolved oxygen explained the greatest proportion of variance in the multivariate data, followed by POC flux and percent organic-detritus occurrence. Fish abundances were generally higher in canyons but only statistically significant for the deepest stratum. Reduced fish abundances both in canyon and slope transects occurred at intermediate depths within the core of the oxygen minimum zone (OMZ). Species density, diversity and richness and abundance were usually higher in the canyons, but only statistically higher in the deepest stratum. Possible causes for increased abundance and species densities and richness in the deepest stratum in canyons include reduced disturbance at deeper depths. We conclude that submarine canyons on oceanic islands are likely to be sites of enhanced fish abundance and species richness, but that these enhancing effects are offset when oxygen concentrations fall below ~0.7mll -1 in OMZs. © 2012 Elsevier Ltd.",0,1,0.90177727,negatives
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.3390/insects11030141,Evidence for Cryptic Diversity in the “Pan-Antarctic” Springtail Friesea antarctica and the Description of Two New Species,"The invertebrate terrestrial fauna of Antarctica is being investigated with increasing interest to discover how life interacts with the extreme polar environment and how millions of years of evolution have shaped their biodiversity. Classical taxonomic approaches, complemented by molecular tools, are improving our understanding of the systematic relationships of some species, changing the nomenclature of taxa and challenging the taxonomic status of others. The springtail Friesea grisea has previously been described as the only species with a ""pan-Antarctic"" distribution. However, recent genetic comparisons have pointed to another scenario. The latest morphological study has confined F. grisea to the sub-Antarctic island of South Georgia, from which it was originally described, and resurrected F. antarctica as a congeneric species occurring on the continental mainland. Molecular data demonstrate that populations of this taxon, ostensibly occurring across Maritime and Continental Antarctica, as well as on some offshore islands, are evolutionarily isolated and divergent and cannot be included within a single species. The present study, combining morphological with molecular data, attempts to validate this hypothesis and challenges the taxonomic status of F. antarctica, suggesting that two additional new species, described here as Friesea gretae sp. nov. and Friesea propria sp. nov., are present in Continental Antarctica.",0,1,0.99670213,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.3354/meps194039,Effects of anthropogenic disturbances of tropical soft-bottom benthic communities,"MEPS Marine Ecology Progress Series Contact the journal Facebook (Twitter) RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 194:39-53 (2000) - doi:10.3354/meps194039 Effects of anthropogenic disturbances of tropical soft-bottom benthic communities Patrick Frouin* Laboratoire d¹écologie marine, Université de la Réunion, BP 7151, 97715 Saint Denis Messag Cedex 9, France *E-mail: patrick.frouin@univ-reunion.fr ABSTRACT: The benthic ecosystem of the lagoon surrounding Tahiti, the most populated island of French Polynesia, was investigated to assess the impacts of terrestrial runoff on these benthic communities. Five lagoonal zones based on population densities around the coast of Tahiti were identified, and within each zone a transect from the fringing reef to the barrier reef was sampled, a total of 18 stations. Only large macrofauna collected on a 2 mm sieve were considered in this study. Multivariate analysis using total biomass and environmental factors showed that the stations formed 3 main groups which were related to sediment characteristics, including percentage of silt, organic matter and phaeopigment levels. The distribution of the major feeding groups was related to the amounts of terrestrial inputs and distance from the shore. The stations on the barrier reef and those in zones adjacent to low population areas were not impacted by these terrestrial inputs. Deposit-feeding communities of capitellid polychaetes were dominant in the channel parts of the lagoon, which acted as decanting ponds. Chaetopterid polychaetes played an important role in recycling sediments of terrigenous origin in the fringing ecosystem. The patterns of diversity, density and biomass of the benthos around the lagoon revealed that some areas were impacted by moderate terrigenous inputs. It appears that the intermediate disturbance hypothesis explains the functioning of the parts of the benthic lagoonal ecosystem which are subjected to human impact. The organic enrichment by terrestrial inputs contrasts with food limitation that appears to occur in the non-disturbed areas. Despite high organic loads, the benthic communities present at the harbour station were not depauperate, as bioturbation by burrowing alpheids and callianassids prevented anoxic conditions from developing. KEY WORDS: Lagoon · Macrobenthic communities · Polychaetes · Deposit-feeders · Terrestrial inputs · Tropical Full text in pdf format PreviousNextExport citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 194. Publication date: March 17, 2000 Print ISSN:0171-8630; Online ISSN:1616-1599 Copyright © 2000 Inter-Research.",0,1,0.39824352,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1002/ajpa.1330690307,Porotic hyperostosis in a marine‐dependent California Indian population,,0,1,0.9820795,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1371/journal.pone.0085199,A Complex Evolutionary History in a Remote Archipelago: Phylogeography and Morphometrics of the Hawaiian Endemic Ligia Isopods,"Compared to the striking diversification and levels of endemism observed in many terrestrial groups within the Hawaiian Archipelago, marine invertebrates exhibit remarkably lower rates of endemism and diversification. Supralittoral invertebrates restricted to specific coastal patchy habitats, however, have the potential for high levels of allopatric diversification. This is the case of Ligia isopods endemic to the Hawaiian Archipelago, which most likely arose from a rocky supralittoral ancestor that colonized the archipelago via rafting, and diversified into rocky supralittoral and inland lineages. A previous study on populations of this isopod from Oʻahu and Kauaʻi revealed high levels of allopatric differentiation, and suggested inter-island historical dispersal events have been rare. To gain a better understanding on the diversity and evolution of this group, we expanded prior phylogeographic work by incorporating populations from unsampled main Hawaiian Islands (Maui, Molokaʻi, Lanaʻi, and Hawaiʻi), increasing the number of gene markers (four mitochondrial and two nuclear genes), and conducting Maximum likelihood and Bayesian phylogenetic analyses. Our study revealed new lineages and expanded the distribution range of several lineages. The phylogeographic patterns of Ligia in the study area are complex, with Hawaiʻi, Oʻahu, and the Maui-Nui islands sharing major lineages, implying multiple inter-island historical dispersal events. In contrast, the oldest and most geographically distant of the major islands (Kauaʻi) shares no lineages with the other islands. Our results did not support the monophyly of all the supralittoral lineages (currently grouped into L. hawaiensis), or the monophyly of the terrestrial lineages (currently grouped into L. perkinsi), implying more than one evolutionary transition between coastal and inland forms. Geometric-morphometric analyses of three supralittoral clades revealed significant body shape differences among them. A taxonomic revision of Hawaiian Ligia is warranted. Our results are relevant for the protection of biodiversity found in an environment subject to high pressure from disturbances.",0,1,0.9926416,openalex
False Positive,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,10.1007/s00606-006-0498-6,Genetic diversity and spatial genetic structure of Pinus strobus (Pinaceae) across an island landscape inferred from allozyme and cpDNA markers,"The Beaver Island Archipelago (BIA) provides a model system to address the impact of long-term isolation on genetic diversity and gene flow. Low lake levels are assumed to have caused the BIA to be attached to mainland Michigan for at least 4000 years (10000 yr B.P.- 6000 yr B.P.), eventually, rising lake levels would have kept the islands isolated since 6000 yr B.P. If the island populations of a plant species in the BIA were indeed once continuous with the mainland of Michigan, then we would expect similar levels of genetic diversity in populations of such a species on the islands vs. the mainland. We compared levels of allozyme genetic diversity of 20 plots of Pinus strobus in the BIA with two mainland populations in northern Michigan. In addition, if pollen is a primary agent of gene flow across islands, a low degree of allozyme differentiation among the island populations of P. strobus in the BIA would be evident. Furthermore, since seed dispersal is more limited than pollen dispersal in P. strobus, a more pronounced spatial genetic structure (SGS) is expected in allozymes than in cpDNA markers. To gain insights on the pattern of seed and pollen dispersal among the 20 plots, we further analyzed spatial autocorrelation using Moran's I-statistics for both data sets [biparentally inherited, allozymes and paternally inherited, cpDNA microsatellites (cpDNA SSR)]. We found a similar level of allozyme variability in both the BIA (mean H e = 0.080) and the two mainland populations (mean H e = 0.078). As predicted, we observed a low but significant degree of genetic divergence among populations for allozymes (mean F ST = 0.033 across 20 plots). Our allozyme-based SGS analysis revealed significant evidence of SGS (i.e. isolation-by-distance; slope β = -0.194 from regression analysis of observed averaged Moran's I values against the logarithm of the upper bound of six distance classes). In contrast, little evidence of SGS was found in cpDNA SSR data across the BIA (β = 0.013). These results suggest that although gene flow via seed dispersal is somewhat limited, pollen flow has been sufficient to maintain genetic diversity and prevent differentiation across the island landscape over several thousand years of isolation. © 2007 Springer-Verlag.",0,1,0.9470254,negatives
