error_type,fold,source_file,doi,title,abstract,label,prediction,score,source
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.2307/1563615,"Close Relationship between the Lizard Genus Sator and Sceloporus utiformis (Reptilia, Lacertilia, Iguanidae): Electrophoretic and Immunological Evidence","Horizontal starch gel electrophoresis was employed in analysis of lactic dehydrogenase isozymes for two species of Sator, 22 species of Sceloporus, and representatives of all other sceloporine genera. Sator was compared electrophoretically to 12 species of Sceloporus for six additional presumptive gene loci. Albumin of Sator was compared immunologically to 38 species of Sceloporus and representatives of all other sceloporine genera. The findings indicate a close genetic relationship between the two insular species of Sator and the mainland Mexican Sceloporus utiformis",1,0,0.0037254929,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1111/jbi.12916,Global patterns in the divergence between phylogenetic diversity and species richness in terrestrial birds,"Abstract Aim The conservation value of sites is often based on species richness ( SR ). However, metrics of phylogenetic diversity ( PD ) reflect a community's evolutionary potential and reveal the potential for additional conservation value above that based purely on SR . Although PD is typically correlated with SR , localized differences in this relationship have been found in different taxa. Here, we explore geographical variation in global avian PD . We identify where PD is higher or lower than expected (from SR ) and explore correlates of those differences, to find communities with high irreplaceability, in terms of the uniqueness of evolutionary histories. Location Global terrestrial. Methods Using comprehensive avian phylogenies and global distributional data for all extant birds, we calculated SR and Faith's PD , a widely applied measure of community PD , across the terrestrial world. We modelled the relationship between avian PD for terrestrial birds and its potential environmental correlates. Analyses were conducted at a global scale and also for individual biogeographical realms. Potential explanatory variables of PD included SR , long‐term climate stability, climatic diversity (using altitudinal range as a proxy), habitat diversity and proximity to neighbouring realms. Results We identified areas of high and low relative PD ( rPD ; PD relative to that expected given SR ). Areas of high rPD were associated with deserts and islands, while areas of low rPD were associated with historical glaciation. Our results suggest that rPD is correlated with different environmental variables in different parts of the world. Main conclusions There is geographical variation in avian rPD , much of which can be explained by putative drivers. However, the importance of these drivers shows pronounced regional variation. Moreover, the variation in avian rPD differs substantially from patterns found for mammals and amphibians. We suggest that PD adds additional insights about the irreplaceability of communities to conventional metrics of biodiversity based on SR , and could be usefully included in assessments of site valuation and prioritization.",1,0,0.038548097,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1046/j.1365-2699.2003.00980.x,"Dispersal, cladistics and the nature of biogeography","Recently in this Journal, Ebach & Humphries (2003) have argued for the primacy of a cladistic approach in biogeographical explanations, downplaying the importance of dispersal. In particular, they treat dispersal as a secondary process rather than an equal to vicariance and cite Brown & Lomolino (1998) and myself (Wilkinson, 2001a) as examples from the current literature that they believe overemphasize the importance of dispersal. They suggest that dispersal biogeographers have ignored the importance of Earth processes such as plate tectonics and they suggest that biogeography suffers from ‘a plethora of methods’ and as such is ‘not seen as a field in its own right’ (Ebach & Humphries, 2003, p. 959). Before addressing their main points, this more general comment about ‘a plethora of methods’ deserves some consideration. Ebach and Humphries appear to believe that there should be a tight definition of biogeography, which clearly differentiates the subject from related disciplines (something they see as currently lacking). From this definition should follow a correct method for approaching these carefully defined biogeographical problems, a method which they see as grounded in cladistics and vicariance. While this is a caricature of their views, resulting from my attempts to describe their main arguments with brevity, like most good caricatures I believe it preserves the key features. Biogeography, however, is just one part of our attempt to understand the Universe, and the classification of this attempt at understanding into multiple disciplines (biogeography, ecology, geology, cosmology, chemistry, etc.) is an artificial one designed for our convenience. Indeed the philosopher Midgley (1989, 2001) has strongly argued that we have impeded our understanding of the world by overemphasizing these unnatural divisions. Biogeography does not need a rigorous definition beyond a general statement that it is about the distribution of organisms in space and time. Indeed such a definition could be harmful by potentially excluding much that is relevant as outside the scope of the subject. It seems to me that complex subjects are likely to yield best to ‘a plethora of methods’ with different methods being more or less suitable to different questions within the general field of enquiry. So a cladistic approach may be useful for some, but by no means all, biogeographical questions. The above argument is nicely illustrated by Ebach and Humphries’ central point that the dynamic view of the Earth, produced by our understanding of plate tectonics, is central to biogeography and dispersal-centred explanations are largely an outdated survivor from a static view of the Earth's continents. This view fails to appreciate that the relative importance of dispersal and vicariance (driven by plate tectonics) differs depending on the biogeographical question under investigation. For example, if I am interested in the biogeography of the tiger Panthera tigris, and if we assume that this species had a point of origin in space–time in the recent geological past, then dispersal will be one of the key relevant mechanisms in understanding its current distribution, with plate tectonics of little importance. However, if I am interested in the distribution of the order Carnivora then plate tectonics becomes more important. The larger the geological time-scale of interest and the higher the taxonomic unit being studied, the more likely it is that vicariance is important. However, most of the studies published by this Journal have time-scales of the Quaternary, or less, and focus on the species level. Here dispersal and extinction are usually more important than vicariance and as such cladistic methods are less useful. At the Quaternary time-scale the most dramatic dynamic aspect of the Earth have been the glacial/interglacial cycles. Fossil evidence suggests that dispersal (along with extinction) has been a key mechanism by which species respond to these changes (Huntley & Webb, 1989; Bennett, 1997). The comments about scale, both taxonomic and temporal, made above apply to the large organisms that dominate most biogeography textbooks (e.g. Brown & Lomolino, 1998; Cox & Moore, 2000) and most papers in this Journal. However, much of the Earth's biodiversity is microbial (Margulis & Schwartz, 1998) and these microbes are crucial to most ecological processes (Wilkinson, 1998; Newman & Banfield, 2002). For these organisms it seems likely that the ease of their dispersal swamps vicariance in importance. It has long been a maxim in microbiology that ‘everything is everywhere, the environment selects’. The idea being that free living microbes are so small and numerous that they can disperse everywhere and unlike larger organisms are only absent from sites because of unsuitable habitats. There is now much evidence in support of this idea (Finlay, 2002), although the largest microbes may be an exception to this general rule (Wilkinson, 2001b). While this view of cosmopolitan microbial biogeography is not universally accepted (e.g. Mann & Droop, 1996; Foissner, 1999) it seems unlikely that the vicariance-inspired cladistic approach will be useful for microbes. The importance of dispersal is illustrated most dramatically by isolated volcanic islands such as Ascension Island and St Helena in the south Atlantic, Christmas Island in the Indian Ocean and Guadalupe in the Pacific (Whittaker, 1998). Without dispersal all these islands would be devoid of terrestrial life! A theoretical base for biogeography that was inapplicable to such fascinating islands would be sadly lacking. In conclusion, for some groups, such as microbes, universal dispersal appears to rule out a significant role for vicariance. For other groups it depends on the question asked (especially the taxonomic and temporal scales). Even at scales that appear ideal for a vicariance-inspired explanation, dispersal can turn out to provide a better answer. For example, recent work on chameleons has concluded that ‘Oceanic dispersal – not Gondwanan break up – facilitated species radiation’ (Raxworthy et al., 2002). Darwin (1859) may have showed great good sense in emphasizing the importance of dispersal, not merely because he did not know about plate tectonics, but because dispersal is a fundamental process in understanding much of biogeography. I thank Jim Brown and Brett Riddle for useful discussions. David Wilkinson has wide interests in biology, environmental science and the history of science. His theoretical work has concentrated on biogeography, evolutionary ecology and the Earth system (Gaia). His more empirical studies have included work on Quaternary palaeoecology, environmental archaeology (especially around the English Lake District) and the ecology of protozoa.",1,0,0.0038297994,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1007/s10310-012-0349-y,Patch isolation only matters for specialist butterflies but patch area affects both specialist and generalist species,"Over the past four decades, many researchers have applied the theory of island biogeography (IBT) to predict and understand species loss and distribution in fragmented landscapes. Recent studies found that specialist species were more affected by fragment size and isolation than generalists. However, the mechanisms underlying different effects of area and isolation among specialists and generalists are unknown. We tested the predictions of IBT on butterfly assemblages in Tokyo, Japan, and hypothesized that the effects of fragment size and isolation would be stronger for specialists than for generalists. We classified butterfly species into specialists and generalists for each of two dimensions (food range and voltinism) and according to tolerance to the matrix. We recorded 26 feeding specialists and 27 generalists, 24 seasonal specialists and 29 generalists, 32 low matrix-tolerant species and 21 high matrix-tolerant species in 20 forest fragments. We used generalized linear models to relate the number of species in a fragment to fragment size and isolation (distance to the mainland). The averaged models based on AICc showed that fragment size had positive and significant effects on both specialist and generalist and high matrix-tolerant butterfly species richness. However, the negative effects of isolation on species richness were only found in specialist and low matrix-tolerant species. Our results demonstrate that patch isolation only affects specialist species. This suggests that when applying IBT to terrestrial fragmented landscapes, researchers should be careful not to overlook patch area and isolation effects on specialists.",1,0,0.0039207563,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1111/2041-210x.12446,Measuring the realized niches of animals using stable isotopes: from rats to bears,"Summary Stable isotope analysis is a powerful method for estimating the impacts animals have on their environment (resource use), revealing their ecological niches. We demonstrated the use of a stable isotope mixing model for measuring the ecological niches of consumers. In particular, we used the model IsotopeR to estimate the resource use of two species with complex, omnivorous diets: invasive Norway rats from the Aleutian Islands, AK , and American black bears from Yosemite National Park, CA . Marginal posterior distributions for major food sources (for populations, groups and individuals) described the resource axes that partly define the realized niches of these omnivores. We used measures of these resource axes to inform resource management in the Aleutians and Yosemite. Results from our analyses confirm that coastal rats did not rely on marine birds on rat‐infested islands in the Aleutians. Instead, rats foraged primarily on terrestrial plants and preferred amphipods when they were available. We also use stable isotopes to confirm that plants and acorns are the largest contributors to black bear nutrition in Yosemite and learned that female bears foraged for acorns and pine nuts more heavily than males. Although it is unclear if Norway rats can maintain viable populations in the Aleutians without access to marine‐derived animal protein, results from our analyses suggest their dependence on such nutrients. In addition, sex‐specific differences in foraging for high‐fat acorns and pine nuts in Yosemite suggest black bear populations in the Sierra Nevada may be limited by the productivity and health of hard mast species. As demonstrated here, stable isotope analysis has wide applicability for investigating the resource use and ecological niches of animals. We anticipate and encourage its rapid development in this fundamental field of ecology.",1,0,0.0057439413,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.2307/1447434,"Habitat Use during Breeding and Emigration in Radio-Implanted Tiger Salamanders, Ambystoma tigrinum","Twenty-seven adult radio-implanted Ambystoma tigrinum from four ponds in Long Island, New York, were tracked for up to a year to examine adaptive flexibility in aquatic and terrestrial habitat use. Adults in two exposed breeding ponds preferred deep, vegetated areas. In a heavily shaded pond, the males segregated from the females and preferred nonvegetated areas, and in a pond with bluegills, the adults preferred shallow zones. On land, most resident salamanders remained close to a breeding pond that was immediately surrounded by a steep bank and woods, whereas few stayed close to exposed ponds with little ground cover. Salamanders were facultative emigrators, making major emigratory movements during spring, fall, or both, or not migrating at all. Two displaced salamanders showed normal pond activity but atypical terrestrial movements. Frequent predation occurred in small-mammal runways, most likely by short-tailed shrews. Salamanders excavated tunnels for temporary refuge but used small-mammal runway systems for long-term refuge. These new observations for A. tigrinum show adaptability in movements and habitat use during breeding and emigration consistent with the species' wide distribution in eastern North America.",1,0,0.0032255857,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.3390/agronomy10060762,"Distribution of Root-Lesion and Stunt Nematodes, and Their Relationship with Soil Properties and Nematode Fauna in Sugarcane Fields in Okinawa, Japan","Sugarcane cultivation in Japan has not yet focused on suppressing plant-parasitic nematodes. For proper nematode management, it is essential to know the spatial distribution of economically important plant-parasitic nematodes and free-living nematodes that play important roles in terrestrial ecosystems. We aimed to reveal nematode fauna and soil properties in 85 sugarcane fields of three major sugarcane producing islands in Japan, and to examine their relationship by using the mixed-effect model and by visualizing the spatial distributions using the inverse distance weighting (IDW) approach. The nematode community structures were analyzed by non-metric multidimensional scaling (NMDS). Among plant-parasitic nematodes in sugarcane, the root-lesion nematodes (Pratylenchus sp.) and the stunt nematodes (Tylenchorhynchus sp.) were widely distributed in these islands, yet the abundance and the species varied geospatially. Soil pH was significantly correlated with the abundance of Pratylenchus and Tylenchorhynchus species. The abundance of Pratylenchus and Tylenchorhynchus species were significantly correlated with soil pH. The abundance of Pratylenchus was significantly correlated with the abundance of free-living nematodes, the number of free-living nematode species, and exchangeable cation K+, as were the abundance of Tylenchorhynchus to the clay content and that of non-Tylenchorhynchus. This study also revealed that the three islands had different nematode faunas, which were explained especially by soil pH, texture, and exchangeable basic cations.",1,0,0.05552539,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,10.1111/geb.13797,Beta-diversity within coral atolls: Terrestrial species turnover increases with cyclone frequencies,"Aim: Atolls are a widely distributed, common type of tropical ecosystem, each consisting of an annular coral reef and up to several hundred individual islets sitting on the reef platform. The small land areas and low elevation render the terrestrial communities susceptible to local extinctions from overwash and inundation due to tropical cyclones. Such recurring catastrophic disturbances should be expected to drive strong priority effects and historical contingency in species assembly, thus also promoting species turnover within atolls. This stands contradictory to the received wisdom of atolls consisting of numerous uniform, replicated island systems. We tested the hypothesis that the individual islets within an atoll exhibit compositional turnover and that this species turnover within atolls is related to cyclone frequency. Location: Atolls worldwide. Time Period: Present. Taxa Studied: Vascular plants, reptiles, birds. Methods: We compiled a global dataset at the level of islets for species presence/absence within atolls. We obtained long-term (80 year) tropical cyclone frequency data for each atoll from the NOAA hurricane database and used Bayesian regression to estimate the effects of tropical cyclone frequency on species turnover within atolls. Results: We consistently measured high within-atoll species turnover (i.e., between the individual islets within an atoll) on atolls worldwide. The degree of within-atoll species turnover increases with increasing tropical cyclone frequency. Atolls that are more frequently hit by tropical cyclones show higher species turnover between their islets than those that occur outside the tropical cyclone belt. Main Conclusions: Tropical cyclones are a significant driver of the community assemblages on atolls. These catastrophic disturbances promote a heterogenous atoll landscape, which challenges perceptions that the islets within an atoll are identical replicates of the entire atoll terrestrial community. Biodiversity surveys undertaken at the islet-level (alpha-diversity) might therefore not be representative of the entire atoll metacommunity (gamma) diversity. © 2023 The Authors. Global Ecology and Biogeography published by John Wiley & Sons Ltd.",1,0,0.10484115,positives
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.1111/j.0014-3820.2003.tb00268.x,EMPIRICAL EVIDENCE FOR AN OPTIMAL BODY SIZE IN SNAKES,"The concept of optimal size has been invoked to explain patterns in body size of terrestrial mammals. However, the generality of this phenomenon has not been tested with similarly complete data from other taxonomic groups. In this study we describe three statistical patterns of body size in snakes, all of which indicate an optimal length of 1.0 m. First, a distribution of largest body lengths of 618 snake species had a single mode at 1.0 m. Second, we found a positive relationship between the size of the largest member of an island snake assemblage and island area and a negative relationship between the size of the smallest member of an island snake assemblage and island area. Best-fit lines through these data cross at a point corresponding to 1.0 m in body length, the presumed optimal size for a one-species island. Third, mainland snake species smaller than 1.0 m become larger on islands whereas those larger than 1.0 m become smaller on islands. The observation that all three analyses converge on a common body size is concordant with patterns observed in mammals and partial analyses of four other disparate animal clades. Because snakes differ so strikingly from mammals (ectotherms, gape-limited predators, elongate body shape) the concordant patterns of these two groups provide strong evidence for the evolution of an optimal body size within independent monophyletic groups. However, snakes differ from other taxonomic groups that have been studied in exhibiting a body size distribution that is not obviously skewed in either direction. We suggest that idiosyncratic features of the natural history of ectotherms allow relatively unconstrained distributions of body size whereas physiological limitations of endotherms constrain distributions of body size to a right skew.",1,0,0.02657111,openalex
False Negative,0,fold_0_roberta-base_BCE_with_title_run-0_opt_neg-500,https://doi.org/10.3390/app11094258,Mapping National Mangrove Cover for Belize Using Google Earth Engine and Sentinel-2 Imagery,"In this paper, we present the highest-resolution-available (10 m) national map of the mangrove ecosystems of Belize. These important ecosystems are increasingly threatened by human activities and climate change, support both marine and terrestrial biodiversity, and provide critical ecosystem services to coastal communities in Belize and throughout the Mesoamerican Reef ecoregion. Previous national- and international-level inventories document Belizean mangrove forests at spatial resolutions of 30 m or coarser, but many mangrove patches and loss events may be too small to be accurately mapped at these resolutions. Our 10 m map addresses this need for a finer-scale national mangrove inventory. We mapped mangrove ecosystems in Belize as of 2020 by performing a random forest classification of Sentinel-2 Multispectral Instrument imagery in Google Earth Engine. We mapped a total mangrove area of 578.54 km2 in 2020, with 372.04 km2 located on the mainland and 206.50 km2 distributed throughout the country’s islands and cayes. Our findings are substantially different from previous, coarser-resolution national mangrove inventories of Belize, which emphasizes the importance of high-resolution mapping efforts for ongoing conservation efforts.",1,0,0.08111763,openalex
