model_name,fold,run,kernel,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,roc_auc,AP,MCC,NDCG,kappa,TN,FP,FN,TP
SVM,1,1,linear,True,False,500,0.819672131147541,0.8012820512820513,0.8389261744966443,0.7608695652173914,{},{},0.4664685887489526,{},0.4653875412053081,50.0,24.0,31.0,125.0
SVM,2,1,linear,True,False,500,0.8363636363636363,0.8846153846153846,0.7931034482758621,0.7652173913043478,{},{},0.43334443459481,{},0.4253192670738479,38.0,36.0,18.0,138.0
SVM,3,1,linear,True,False,500,0.8152866242038217,0.8205128205128205,0.810126582278481,0.7478260869565218,{},{},0.4181613206033808,{},0.4180771244110975,44.0,30.0,28.0,128.0
SVM,4,1,linear,True,False,500,0.8133333333333334,0.782051282051282,0.8472222222222222,0.7565217391304347,{},{},0.4680250249605083,{},0.4649385177799934,52.0,22.0,34.0,122.0
SVM,5,1,linear,True,False,500,0.8038585209003215,0.8064516129032258,0.8012820512820513,0.7347826086956522,{},{},0.3944950518687485,{},0.3944756150194216,44.0,31.0,30.0,125.0
SVM,1,1,rbf,True,False,500,0.7744107744107744,0.7371794871794872,0.8156028368794326,0.7086956521739131,{},{},0.3700560373683608,{},0.3663130191627601,48.0,26.0,41.0,115.0
SVM,2,1,rbf,True,False,500,0.8333333333333334,0.8653846153846154,0.8035714285714286,0.7652173913043478,{},{},0.4415665231606169,{},0.4381107491856677,41.0,33.0,21.0,135.0
SVM,3,1,rbf,True,False,500,0.8193548387096774,0.8141025641025641,0.8246753246753247,0.7565217391304347,{},{},0.4461564715230665,{},0.4460691553414759,47.0,27.0,29.0,127.0
SVM,4,1,rbf,True,False,500,0.8067796610169492,0.7628205128205128,0.8561151079136691,0.7521739130434782,{},{},0.4705443900599528,{},0.4645045339433052,54.0,20.0,37.0,119.0
SVM,5,1,rbf,True,False,500,0.7828947368421053,0.7677419354838709,0.7986577181208053,0.7130434782608696,{},{},0.3609142208833327,{},0.3603034134007585,45.0,30.0,36.0,119.0
SVM,1,1,poly,True,False,500,0.1637426900584795,0.0897435897435897,0.9333333333333332,0.3782608695652174,{},{},0.1442247031087653,{},0.0507936507936509,73.0,1.0,142.0,14.0
SVM,2,1,poly,True,False,500,0.1627906976744186,0.0897435897435897,0.875,0.3739130434782609,{},{},0.1151578450041601,{},0.0418884517472806,72.0,2.0,142.0,14.0
SVM,3,1,poly,True,False,500,0.1538461538461538,0.0833333333333333,1.0,0.3782608695652174,{},{},0.1685758545593033,{},0.0552651232262881,74.0,0.0,143.0,13.0
SVM,4,1,poly,True,False,500,0.1197604790419161,0.0641025641025641,0.9090909090909092,0.3608695652173913,{},{},0.1107430009707713,{},0.0333924180913717,73.0,1.0,146.0,10.0
SVM,5,1,poly,True,False,500,0.1437125748502994,0.0774193548387096,1.0,0.3782608695652174,{},{},0.1632026321532772,{},0.0518881522052465,75.0,0.0,143.0,12.0
SVM,1,1,sigmoid,True,False,500,0.8131147540983606,0.7948717948717948,0.8322147651006712,0.7521739130434782,{},{},0.4469829775226069,{},0.4459470881582283,49.0,25.0,32.0,124.0
SVM,2,1,sigmoid,True,False,500,0.8398791540785498,0.8910256410256411,0.7942857142857143,0.7695652173913043,{},{},0.4430353217073062,{},0.4338132837900603,38.0,36.0,17.0,139.0
SVM,3,1,sigmoid,True,False,500,0.8126984126984127,0.8205128205128205,0.8050314465408805,0.7434782608695653,{},{},0.4061042473782121,{},0.4059189212853515,43.0,31.0,28.0,128.0
SVM,4,1,sigmoid,True,False,500,0.8250825082508251,0.8012820512820513,0.8503401360544217,0.7695652173913043,{},{},0.4902276968023932,{},0.4883740451607488,52.0,22.0,31.0,125.0
SVM,5,1,sigmoid,True,False,500,0.8012820512820513,0.8064516129032258,0.7961783439490446,0.7304347826086957,{},{},0.3824925414288559,{},0.38241663057600694,43.0,32.0,30.0,125.0
