Article ID,Title,Author,Secondary authors,Keywords,title of unpublished reference,primary date,publication year,notes,reprint status,start page number,ending page number,periodical full name,periodical standard abbreviation,periodical in which article was published,periodical name - user abbreviation 1,periodical name - user abbreviation 2,volume number,issue number,title secondary,city of publication,publisher,user definable 1,user definable 5,title series,Abstract,ISSN/ISBN,availability,Misc. 1,Misc. 2,address,Web/URL,link to PDF,link to full-text,related records,images,DOI,rated unclear,Comment: Island (Population); ,Unnamed: 39,Comment: Terrestrial Biodiversity (Population); ,Unnamed: 41,Comment: Monitoring&nbsp; (Outcome); ,Unnamed: 43,ensemble_score,ensemble_prediction,std_score,consensus_strength,positive_folds,Score_Rank
1.0,"Terrestrial habitats on sub-Antarctic Marion Island: their vegetation, edaphic attributes, distribution and response to climate change
","Smith, V.; Steenkamp, Marianna; Gremmen, Niek",,Edaphic,,,2001.0,,,641,654,,,,,,67,4,"South African Journal of Botany
",,"Elsevier BV
",,,,"The vegetation, soil chemistry characteristics and altitudinal distributions of 23 habitats in 7 habitat complexes on sub-Antarctic Marion Island (47°S, 38°E) are described. The habitat complexes (number of habitats in complex) are; Coastal Salt-spray Complex (2); Fellfield Complex (2); Slope Complex (6); Biotic Grassland Complex (3); Biotic Herbfield Complex (3); Mire Complex (6); Polar Desert Complex (1). The habitat classification closely reflects the between-habitat variation in the relative magnitudes of the main forcing variables that determine ecological succession on the island (moisture, exposure, parent soil material, saltspray and manuring and trampling by seals and seabirds). Hence, it can serve as a framework against which to detect and evaluate ecological responses to the marked climatic change currently occurring in the sub-Antarctic. Suggestions are made on how the habitats might respond to climatic change (warming, drying) and other perturbations (increasing or decreasing influences of salt-spray and manuring).
","0254-6299
",,,,,"https://doi.org/10.1016/s0254-6299(15)31195-9
",,,,,10.1016/s0254-6299(15)31195-9,No,,,"struct, fun",struct,,baseline,0.9957148194313049,1,0.0012884314369187378,1.0,5,338.0
2.0,"Baseline survey of the terrestrial invertebrate fauna of Barrow Island
","Majer, Jonathan; Callan, Shae; Edwards, Karl; Gunawardene, Nihara; Taylor, Christopher",,Baseline (sea),,,2013.0,,,13,13,,,,,,83,1,"Records of the Western Australian Museum Supplement
",,,,,,"Barrow Island is Western Australia's second largest offshore island and its flora and fauna have been able to evolve without major human disturbances.Chevron Australia Pty Ltd and its Joint Venture Participants made an application to construct a plant to liquefy natural gas on the island in 2001.One of the conditions under which approval was granted was the implementation of a rigorous biosecurity effort to ensure that no non-indigenous species (NIS) are introduced or allowed to establish on the island.To fulfil this condition it was first necessary to characterise what was already present on the island.A series of surveys have been performed using a purpose-designed sampling protocol in order to provide baseline data on the existing terrestrial invertebrates on Barrow Island.A total of 1,873 morphospecies were sampled but subsequent surveys and taxonomic developments have increased the count to 2,397.This compares with an estimated species richness of 2,481 terrestrial invertebrate species on the island.Composition of the fauna varied considerably between the wet and dry seasons and between years, even when samples were taken during the same month.Composition also varied with distance from the coast, which may be associated with soil type and vegetation association.Twenty five non-indigenous species and seven putative non-indigenous species have been found, all of which are believed to have been present prior to commencement of the Gorgon Gas Development project.
","0313-122X
",,,,,"https://doi.org/10.18195/issn.0313-122x.83.2013.013-112
",,,,,10.18195/issn.0313-122x.83.2013.013-112,No,,,,com,,"baseline, rep",0.9841851711273193,1,0.023464828275859193,1.0,5,654.0
3.0,"A DNA barcode-based survey of terrestrial arthropods in the Society Islands of French Polynesia: host diversity within the SymbioCode Project
","Ramage, Thibault; Martins-Simões, Patrícia; Mialdea, Gladys; Allemand, Roland; Duplouy, Anne; Rousse, Pascal; Davies, Neil; Roderick, George; Charlat, Sylvain",,DNA Barcoding; Archipelago; Arthropod; Barcode,,,2017.0,,,,,,,,,,,272,"European Journal of Taxonomy
",,"Consortium of European Natural History Museums
",,,,"We report here on the taxonomic and molecular diversity of 10 929 terrestrial arthropod specimens, collected on four islands of the Society Archipelago, French Polynesia. The survey was part of the ‘SymbioCode Project’ that aims to establish the Society Islands as a natural laboratory in which to investigate the flux of bacterial symbionts (e.g., Wolbachia) and other genetic material among branches of the arthropod tree. The sample includes an estimated 1127 species, of which 1098 included at least one DNA-barcoded specimen and 29 were identified to species level using morphological traits only. Species counts based on molecular data emphasize that some groups have been understudied in this region and deserve more focused taxonomic effort, notably Diptera, Lepidoptera and Hymenoptera. Some taxa that were also subjected to morphological scrutiny reveal a consistent match between DNA and morphology-based species boundaries in 90% of the cases, with a larger than expected genetic diversity in the remaining 10%. Many species from this sample are new to this region or are undescribed. Some are under description, but many await inspection by motivated experts, who can use the online images or request access to ethanol-stored specimens.
","2118-9773
",,,,,"https://doi.org/10.5852/ejt.2017.272
",,,,,10.5852/ejt.2017.272,No,,"part of ""SymbioCode Project""",,"com, trait",,baseline,0.9964308381080628,1,0.0009134142671792576,1.0,5,114.0
4.0,"First general inventory of the terrestrial Heteroptera fauna and its specificity on the oceanic island of Reunion
","Legros, Vincent; Gasnier, Sophie; Rochat, Jacques",,Tingidae; Anthocoridae,,,2016.0,,,311,342,,,,,,52,6,"Annales de la Société entomologique de France (N S )
",,"Taylor & Francis
",,,,"This first general inventory of Reunion's terrestrial Heteroptera was built in two steps. First, current knowledge was assessed and 108 species were reported as present in Reunion. Secondly, a morpho-species based identification method allowed the compilation of an overview of the actual diversity of the terrestrial Heteroptera fauna on Reunion including undescribed species and an estimate of the proportion in the different families. Over a period of eight years this method allowed a general approach at a community level over most of the island. Sampling took into account the large diversity of Reunion's vegetation and unique habitats. The analysis found 144 morpho-species and 15 species, and new identifications of one suborder, one family, two subfamilies, four tribes and 10 genera indicating a minimum of 18 new species. Based on current knowledge and the new identified taxa, a minimum of 126 species in 25 families are present on Reunion. Specifically, Reunion's terrestrial Heteroptera fauna is characterized by a very large proportion of Anthocoridae and Rhyparochromidae, a large proportion of Alydidae and a small proportion of Pentatomoidea. This article also reports the large number of undescribed species in Reunion, while previous studies led to the description of 11 endemic species of Reduviidae, Aradidae, Cydnidae, Tingidae, Largidae and Anthocoridae. Finally, a voucher collection (ie a reference set of morpho-species) has been assembled as stepping stones to a better understanding of the undescribed part of the Reunion's terrestrial Heteroptera fauna.","0037-9271
",,,,,"https://doi.org/10.1080/00379271.2016.1275802
",,,,,10.1080/00379271.2016.1275802,No,,,,com,,baseline,0.9962709307670593,1,0.0010436911936045593,1.0,5,181.0
5.0,"The Anolis Lizards of Bimini: Resource Partitioning in a Complex Fauna
","Schoener, Thomas",,Anolis,,,1968.0,,,704,726,,,,,,49,4,"Ecology
",,"Wiley
",,,,"The tiny island of South Bimini contains 4 species of lizards of he genus Anolis, a number surpassed only on the 4 largest islands of the Greater Antilles and on 2 very large and nearby satellite islands. These species are syntopic with respect to a two—dimensional area of the ground but divide the habitat according to perch height and perch diameter: sagrei is partly terrestrial but occurs more often on small and large low perches; distichus prefers the trunks and large branches of medium to large trees; angusticipes inhabits small twigs, especially at great heights; and carolinensis is found mostly on leaves or on the adjacent twigs and brances. The size classes of the species are staggered in such a way that the interspecific classes which overlap most in habitat overlap least in prey size. Similarities in prey size and prey taxa for classes of the same species are somewhat greater than those expected on the basis of habitat and morphology alone. The distribution of the species among the vegetation communities of Bimini can be explained on the basis of perch height and diameter preference. Within the same species, the larger lizards usually eat larger food, fewer items, and in sagrei more fruit; and they have a greater average range of food size per digestive tract. One species (distichus) is extremely myrmecophagous: about 75—90% of its food items are ants. In 3 of the 4 species, subadult males take more food and average smaller prey then females of the same head length. That species (distichus) which takes the smallest food items and whose classes overlap the most in habitat preference with those of other species is least dimorphic is size between the sexes. It is suggested that such small, nondimorphic species are best suited for insinuation into complex faunas, whereas larger, dimorphic forms are best for the colonization of empty areas. The usefulness of various measures of overlap and specialization is evaluated for this lizard association.","0012-9658
",,,,,"https://doi.org/10.2307/1935534
",,,,,10.2307/1935534,No,,,,"com, trait, struct",,baseline,0.9966054558753967,1,0.0008578038844470502,1.0,5,47.0
7.0,"The late Middle Eocene terrestrial vertebrate fauna from Seymour Island: the tails of the Eocene Patagonian size distribution
","Case, Judd",,,,,2006.0,,,177,186,,,,,,258,1,"Geological Society London Special Publications
",,"Geological Society of London
",,,,"The Middle Eocene Antarctic terrestrial vertebrate palaeofauna from the La Meseta Formation on Seymour Island (= Isla Marambio), Antarctic Peninsula has a U-shaped, bimodal distribution of body sizes. This palaeofauna includes a wide range of body sizes from small insectivorous, omnivorous and granivorous marsupials, a rodent-like non-therian gondwanathere, large-sized ungulates, a sloth and cursorial birds (a ratite and a phororachoid). Medium-sized, homeothermic animals in the size range represented by rabbit to small ungulate-sized animals have not been found.
For comparison, the Early Eocene Casamayoran (Vacan ‘subage’) mammalian palaeofauna from Patagonia has a reasonably normal distribution of body sizes, with the modal class represented by medium-sized mammals, a distribution that is the direct opposite of the Antarctic palaeofauna. A comparison of the Middle Eocene Antarctic palaeofauna from the La Meseta Formation to the early Eocene Vacan-aged mammal palaeofauna is appropriate, due to the taxonomic affinities of the Antarctic palaeofauna to Riochican (latest Palaeocene) and Vacan-aged palaeofaunas of Patagonia. If these Patagonian mammalian palaeofaunas (PMP) were the source for the La Meseta palaeofauna (LMP), then a similar normal distribution with less taxonomic diversity would be expected. However, the LMP does not meet this expectation or even a distribution where all size classes are equally represented. Thus, the pattern of size distribution is quite different from the PMPs.
Floral data for the Early Eocene of Patagonia indicate subtropical conditions with mean annual temperatures (MAT) of 15.6 °C and equable winter temperatures (>10 °C) generating high taxonomic diversity at the species level. Floral data from the La Meseta Formation of equivalent age to the mammalian fauna indicate a cooler MAT of 11–13 °C with a highly seasonal climate, where the mean winter temperature could have ranged from −3 to 2 °C. There is also a significant drop in floral taxonomic diversity, which is dominated by Nothofagus.
A bimodal body size distribution pattern is not an unusual pattern for higher latitude mammalian faunas. Modern boreal mammalian faunas of North America have a low frequency of species in the medium body size range in response to cold winter temperatures in these higher latitudes. The smaller-sized mammals have adapted their physiology to the cold winter temperatures. The larger animals have adapted to the cold winter conditions by conserving heat through small surface-area-to-volume ratios as a result of their greater bulk. The low frequency of medium-sized animals is due to the fact that neither of these thermal strategies is available to them and thus they are at a selective disadvantage.","0305-8719
",,,,,"https://doi.org/10.1144/gsl.sp.2006.258.01.13
",,,,,10.1144/gsl.sp.2006.258.01.13,No,,,,"trait, com",,"paleo, baseline",0.9896137595176697,1,0.012149536018882466,1.0,5,625.0
8.0,"Terrestrial fauna survey of Slipper Island (Whakahau)
","Russell, James; Russell, Katherine",,,,,2017.0,,,73,82,,,,,,45,1,"New Zealand Journal of Zoology
",,"Taylor & Francis
",,,,"We describe the history of Slipper Island (Whakahau) off northeastern New Zealand and report on a survey of the terrestrial fauna undertaken in December 2016. Results from this survey are compared with the last comprehensive survey in August 1973. The terrestrial habitat of the island is predominantly farmland and has changed little in extent over the past 50 years. As a result, the avifauna has remained remarkably consistent, although with some species turnover that reflects changes in the wider regional landscape, and some notable native species additions. Pacific rats were abundant across the island, and as a result reptiles are depauperate due to local extinctions. Bell frogs and Argentine ants are both recent arrivals on the island. On the nearby smaller native forested Penguin and Rabbit Islands the avifauna is predominantly native.","0301-4223
",,,,,"https://doi.org/10.1080/03014223.2017.1345767
",,,,,10.1080/03014223.2017.1345767,No,,,,"com, struct, fun",,"rep, inv",0.9966119885444641,1,0.0009384879084571739,1.0,5,41.0
9.0,"Terrestrial macro-arthropods of the sub-Antarctic islands of Possession (Crozet Archipelago) and Kerguelen: inventory of native and non-native species
","Hullé, M.; Vernon, Philippe",,Archipelago; Endemism,,,2021.0,,,,,,,,,,43,22,"Zoosystema
",,"Muséum national d'histoire naturelle
",,,,"The sub-Antarctic islands of the Southern Ocean harbor biogeographically peculiar biotas which are under threat from climate change, biological invasions and their interactions. Understanding both the indigenous and changing non-indigenous components of these islands is essential for the conservation and management of their biotas. Based on several years of systematic sampling, we present an updated list of terrestrial, free-living macro-invertebrates (insects and spiders) present on the islands of Possession (Crozet Archipelago) and Kerguelen. Ninety-four species were recorded in total on both islands. Forty-one are strictly endemic to one of the two islands, 16 are endemic to the South Indian Ocean Province, and only three were recorded on other sub-Antarctic islands. Beetles and more particularly weevils are the most characteristic group of the fauna of these islands: they include 35 species of which 89% are native and 66% are endemic. One third of the species (30 of 94) are non-indigenous species now naturalized. We discuss these results in terms of biogeography, ecological disharmony and impact of biological invasions.
","1280-9551
",,,,,"https://doi.org/10.5252/zoosystema2021v43a22
",,,,,10.5252/zoosystema2021v43a22,No,,,,"com, pop",,baseline,0.9957732081413269,1,0.001422142544308913,1.0,5,326.0
10.0,"Climate change effects on the biodiversity of the BES islands : assessment of the possible consequences for the marine and terrestrial ecosystems of the Dutch Antilles and the options for adaptation measures
","Debrot, Adolphe; Bugter, R.J.F.",,Biodiversity hotspot; CITES,,,2010.0,,,,,,,,,,,,,,,,,,"Due to their vulnerability and low capacity to adapt, the impact of climate change on small island nations will be far larger compared to larger countries. The Dutch BES islands (Bonaire, St. Eustatius and Saba) form part of the Caribbean global biodiversity hotspot area. The leeward Dutch islands alone possess some 200 endemic species and subspecies and the three islands count over 120 species that are on the CITES appendices. Since the economy of the Dutch Antilles depends for a large part on tourism and tourism on its turn for a large part on the natural capital of the islands, impacts of climate change on biodiversity will therefore also have important economical consequences. In this report we review and assess possible consequences of climate change for the biodiversity of the BES islands and present various options for adaptation. It is quite clear that climate change not only poses a severe threat to the ecosystems of the islands, but also to the totality of benefits and services the inhabitants of these islands derive from those ecosystems.",,,,,,,,,,,,No,,disturbance - climate change,,fun,,,0.9960681080818177,1,0.0012321870487330621,1.0,5,247.0
11.0,"Local distribution, habitat, and numbers of the endemic terrestrial frog<i>Leiopelma hamiltoni on</i>Maud Island, New Zealand
","Bell, Elizabeth; Bell, Ben",,Tree canopy,,,1994.0,,,437,442,,,,,,21,4,"New Zealand Journal of Zoology
",,"Taylor & Francis
",,,,"Abstract Systematic surveys in the 16 ha forest habitat of the Maud Island frog Leiopelma hamiltoni show that frogs are not uniformly distributed throughout the forest. They live at higher densities in the lower section of forest where the forest canopy is higher and rocks more abundant. Other habitat variables have less effect on frog distribution. The minimum population estimate, based on frogs seen out at night on two surveys, is c. 6500, though the actual number present in the forest remnant is estimated to be c. 19 000.
","0301-4223
",,,,,"https://doi.org/10.1080/03014223.1994.9518014
",,,,,10.1080/03014223.1994.9518014,No,,,,"struct, pop",,baseline,0.9961380362510681,1,0.0014181962366820295,1.0,5,228.0
